guardrail_type,current_object,guardrail_name,current_definition,current_enabled_or_valid,current_object_disposition,target_objects,required_action,verification_gate,implementation_status
CONSTRAINT,ai_call_log,ai_call_log_pkey,PRIMARY KEY (id),True,SPLIT_REDACT,ai_call,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,ai_daily_correction,ai_daily_correction_pkey,PRIMARY KEY (id),True,MERGE,ops_production_plan_line | ai_call,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,ai_daily_correction,ai_daily_correction_date_key,UNIQUE (date),True,MERGE,ops_production_plan_line | ai_call,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_audit_log,app_audit_log_action_check,CHECK (btrim(action) <> ''::text),True,MIGRATE,app_audit_event,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_audit_log,app_audit_log_object_type_check,CHECK (btrim(object_type) <> ''::text),True,MIGRATE,app_audit_event,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_audit_log,app_audit_log_result_check,"CHECK (result = ANY (ARRAY['success'::text, 'denied'::text, 'failed'::text, 'attempted'::text]))",True,MIGRATE,app_audit_event,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_audit_log,app_audit_log_user_id_fkey,FOREIGN KEY (user_id) REFERENCES app_user(id) ON DELETE SET NULL,True,MIGRATE,app_audit_event,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_audit_log,app_audit_log_pkey,PRIMARY KEY (id),True,MIGRATE,app_audit_event,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_role,app_role_code_check,CHECK (code ~ '^[a-z][a-z0-9_.-]*$'::text),True,MIGRATE,app_role,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_role,app_role_name_check,CHECK (btrim(name) <> ''::text),True,MIGRATE,app_role,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_role,app_role_permissions_known,"CHECK (permissions <@ ARRAY['finance.read'::text, 'finance.import'::text, 'cost_card.read'::text, 'cost_card.write'::text, 'cost_card.publish'::text, 'cost_item.price.write'::text, 'admin.users'::text, 'audit.read'::text])",True,MIGRATE,app_role,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_role,app_role_pkey,PRIMARY KEY (id),True,MIGRATE,app_role,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_role,app_role_code_key,UNIQUE (code),True,MIGRATE,app_role,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_session,app_session_expiry_check,CHECK (expires_at > created_at),True,REISSUE_NOT_MIGRATE,app_session,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_session,app_session_token_hash_check,CHECK (token_hash ~ '^[0-9a-f]{64}$'::text),True,REISSUE_NOT_MIGRATE,app_session,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_session,app_session_user_id_fkey,FOREIGN KEY (user_id) REFERENCES app_user(id) ON DELETE CASCADE,True,REISSUE_NOT_MIGRATE,app_session,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_session,app_session_pkey,PRIMARY KEY (id),True,REISSUE_NOT_MIGRATE,app_session,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_session,app_session_token_hash_key,UNIQUE (token_hash),True,REISSUE_NOT_MIGRATE,app_session,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_user,app_user_display_name_check,CHECK (btrim(display_name) <> ''::text),True,MIGRATE,app_user | app_user_role,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
CONSTRAINT,app_user,app_user_failed_login_count_check,CHECK (failed_login_count >= 0),True,MIGRATE,app_user | app_user_role,REIMPLEMENT_OR_REPLACE_AFTER_SEMANTIC_EQUIVALENCE_REVIEW,VALIDATION_AND_FK_ACTION_TEST,DESIGN_MAPPED_NOT_EXECUTED
