table_name,foundation_tier,lifecycle,writer,mutation_policy,primary_key,unique_constraints,required_fk_indexes,deferred_fk_constraints,row_access_contract,write_and_freeze_contract,delete_contract,special_constraint_guards,implementation_status
app_schema_migration,CORE_PLATFORM,CORE_MIGRATION,受控迁移执行器,APPEND_ONLY,migration_id,repository_code + migration_version,NONE,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,写入后不可修改；更正追加新事实或冲销事件；应用角色拒绝 UPDATE/DELETE，更正追加新事实或冲销事件,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,NONE,DESIGN_ONLY_NOT_EXECUTED
app_source_system,CORE_BUSINESS,CORE_MIGRATION,平台管理员,CONTROLLED_UPDATE,source_system_id,source_code,NONE,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
app_unit,CORE_BUSINESS,CORE_MIGRATION,数据治理管理员,CONTROLLED_UPDATE,unit_id,unit_code,canonical_unit_id | created_by_user_id,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
app_job_run,CORE_PLATFORM,CORE_MIGRATION,任务调度平台,CONTROLLED_UPDATE_UNTIL_TERMINAL,job_run_id,NONE_BEYOND_PRIMARY_KEY,source_system_id,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,运行或同步进入终态前可更新，终态后冻结并以新运行重算,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
app_audit_event,CORE_PLATFORM,CORE_MIGRATION,数据库受控审计函数,APPEND_ONLY,audit_event_id,NONE_BEYOND_PRIMARY_KEY,actor_user_id | job_run_id,NONE,RESTRICTED_COLUMN_PATH + EXPLICIT_PRIVILEGED_READER + DOMAIN_WRITER_ONLY,写入后不可修改；更正追加新事实或冲销事件；应用角色拒绝 UPDATE/DELETE，更正追加新事实或冲销事件,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,APPEND_ONLY_GUARD: deny UPDATE and DELETE to application roles,DESIGN_ONLY_NOT_EXECUTED
app_user,CORE_PLATFORM,CORE_MIGRATION,身份管理服务,CONTROLLED_UPDATE,user_id,username,person_id,NONE,RESTRICTED_COLUMN_PATH + EXPLICIT_PRIVILEGED_READER + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,"SUBSCRIPTION_VALIDATION: sole preference-update function normalizes notification_subscription_codes, rejects unknown or duplicate codes against the deployed message-type registry, writes app_audit_event, and revokes direct array updates | UPDATED_AT_GUARD: only approved write function/trigger may change updated_at",DESIGN_ONLY_NOT_EXECUTED
app_role,CORE_PLATFORM,CORE_MIGRATION,身份管理服务,CONTROLLED_UPDATE,role_id,role_code,NONE,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
app_permission,EXTENSION_PACK:FINE_GRAINED_ACCESS,PLANNED_MODULE,身份管理服务,CONTROLLED_UPDATE,permission_id,permission_code,NONE,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,主数据允许受权限、审计和并发控制的更新,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
app_user_role,CORE_PLATFORM,CORE_MIGRATION,身份管理服务,CONTROLLED_UPDATE_UNTIL_TERMINAL,user_role_id,user_id + role_id + valid_from,granted_by_user_id | role_id,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,运行或同步进入终态前可更新，终态后冻结并以新运行重算,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
app_role_permission,EXTENSION_PACK:FINE_GRAINED_ACCESS,PLANNED_MODULE,身份管理服务,CONTROLLED_UPDATE_UNTIL_TERMINAL,role_permission_id,role_id + permission_id + valid_from,granted_by_user_id | permission_id,NONE,DECLARED_READER_ROLES + DOMAIN_WRITER_ONLY,运行或同步进入终态前可更新，终态后冻结并以新运行重算,RESTRICT_OR_NO_ACTION_ACROSS_BUSINESS_FACTS; archival/retention workflow only; CASCADE requires separate approval,UPDATED_AT_GUARD: only approved write function/trigger may change updated_at,DESIGN_ONLY_NOT_EXECUTED
