project,project_code,current_object,static_access_evidence,runtime_or_script_reference_count,top_files,target_contract,compatibility_rule,migration_risk,project_target_write_boundary,project_boundary,evidence_limit
BakeryOps,bakery_ops,ai_call_log,WRITE + AMBIGUOUS,2,src/modules/shared/ai/openrouter.provider.ts (2),ai_call,BakeryOps先双写新ai_call；历史回放工具改读受限归档。,HIGH,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,applications,READ + AMBIGUOUS,46,src/modules/domain/recruitment/jobs/jobstreet.active-jobs.ts (10) | scripts/explore/test-jobstreet-notifications-discovery.ts (7) | scripts/explore/test-api-data.ts (6) | src/modules/domain/recruitment/notifications/jobstreet.notifications.ts (5) | scripts/explore/jobstreet-applicant-contact-discovery.ts (4) | scripts/explore/test-gql-requests.ts (4) | scripts/explore/run-service-crew-intake.ts (2) | src/modules/domain/recruitment/posting/jobstreet.posting.ts (2),hr_person | hr_application | hr_employment_source_identity,BakeryOps招聘API在双读期返回旧字段适配层。,HIGH,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,appointments,AMBIGUOUS,6,src/modules/domain/recruitment/digest/interview-digest.service.ts (2) | src/modules/domain/recruitment/digest/trial-digest.service.ts (2) | src/modules/domain/recruitment/intake/candidate-fsm.ts (1) | src/modules/domain/recruitment/recruitment-vocab.ts (1),hr_appointment,招聘FSM切换到新appointment_id。,MEDIUM,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,business_rule,READ + AMBIGUOUS,11,src/modules/domain/forecast/beverage-caliber.ts (5) | src/modules/domain/forecast/stockout-detector.service.ts (2) | src/modules/skills/daily-review-chat/daily-review-chat.definition.ts (2) | src/app/api/ai-correction/route.ts (1) | src/app/api/ai-product-correction/route.ts (1),ops_business_rule | v_ops_holiday_factor,设置页创建规则新版本；预测只读取ACTIVE规则和可重算的质量合格因子，禁止直接读取遗留JSON。,HIGH,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,candidate_conversations,AMBIGUOUS,3,src/modules/domain/recruitment/intake/candidate-fsm.ts (2) | scripts/clear-queued.ts (1),msg_conversation | msg_conversation_state | hr_application,招聘消息流程双写会话和状态，旧表只读。,HIGH,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,context_event,READ + AMBIGUOUS,3,src/app/api/ai-correction/route.ts (1) | src/modules/domain/forecast/daily-review.service.ts (1) | src/ui/hooks/use-review.ts (1),ops_calendar_event | ops_operational_event,预测只读批准日历或确认运营事件，不再读取混合表。,HIGH,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,daily_breakdown,READ,2,src/modules/skills/daily-review-chat/daily-review-chat.definition.ts (2),pos_daily_breakdown | v_pos_daily_breakdown_current,res_api改写新表；财务查询使用治理 current 视图，任何比例必须同时显示分子和分母。,HIGH,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,daily_push_log,READ + WRITE + AMBIGUOUS,10,src/modules/domain/notifications/push-log.ts (4) | src/modules/domain/notifications/morning-brief.service.ts (1) | src/modules/domain/notifications/production-plan-push.service.ts (1) | src/modules/domain/notifications/restock-advice-push.service.ts (1) | src/modules/domain/notifications/weekly-report.service.ts (1) | src/modules/domain/recruitment/appointment-reminder.service.ts (1) | src/modules/domain/recruitment/probation-reminder.service.ts (1),msg_outbound_message,调度任务按业务自然键恢复或创建同一外发消息，不再维护第二张去重确认表。,MEDIUM,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,daily_revenue,READ + AMBIGUOUS,29,src/modules/domain/forecast/ops-data-query.ts (6) | src/modules/domain/notifications/morning-brief.service.ts (5) | src/modules/domain/notifications/weekly-report.service.ts (5) | src/modules/domain/forecast/daily-review.service.ts (2) | src/modules/domain/forecast/data-driven-target.ts (2) | src/modules/domain/notifications/freshness-check.ts (2) | src/modules/skills/daily-review-chat/daily-review-chat.definition.ts (2) | src/modules/skills/status/status.definition.ts (2),pos_sales_day | finance_sales_daily,两个写者分别切换；旧daily_revenue只读兼容视图不能接受ON CONFLICT写入。,CRITICAL,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,daily_review,READ + WRITE + AMBIGUOUS,18,src/modules/skills/daily-review-chat/daily-review-chat.definition.ts (9) | src/modules/domain/notifications/morning-brief.service.ts (4) | src/modules/domain/forecast/daily-review.service.ts (2) | scripts/team-list.mjs (1) | src/modules/domain/notifications/weekly-report.service.ts (1) | src/ui/hooks/use-review.ts (1),ops_daily_review | ops_review_action,BakeryOps复盘流程改为草稿保存、提交冻结和新版本更正；旧数值字段继续由结构化列提供。,HIGH,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,daily_sales_record,READ + WRITE + AMBIGUOUS,8,src/app/api/import/sales/route.ts (4) | src/modules/domain/forecast/context-builder.ts (2) | src/modules/skills/forecast-review/forecast-review.definition.ts (2),v_pos_item_sales_day,在调用方切换期提供旧列名兼容视图。,MEDIUM,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,employee_events,READ + AMBIGUOUS,2,src/modules/domain/recruitment/probation-reminder.service.ts (2),hr_employee_event,员工管理改用employment_id。,MEDIUM,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,employees,READ + AMBIGUOUS,5,src/modules/domain/employee/employee-event.parser.ts (3) | src/modules/domain/recruitment/probation-reminder.service.ts (2),hr_person | hr_person_contact | hr_application | hr_application_stage_event | hr_employment | hr_employee_event | hr_employment_source_identity | hr_employment_mapping_review,BakeryOps员工接口提供旧形状适配，写入改用person/application/employment事务；受限简历字段遵守批准保留期。,CRITICAL,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,forecast_snapshot,READ + WRITE + AMBIGUOUS,6,src/modules/skills/forecast-review/forecast-review.definition.ts (3) | src/modules/skills/daily-review-chat/daily-review-chat.definition.ts (2) | src/modules/domain/forecast/forecast.service.ts (1),ops_forecast_run | ops_forecast_line | ops_production_plan_version | ops_production_plan_line,BakeryOps预测和预估接口分开读写，不创建空壳计划主单。,CRITICAL,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,holiday,READ + AMBIGUOUS,16,src/ui/components/pages/settings-page.tsx (6) | src/ui/hooks/use-settings.ts (4) | src/app/api/ai-correction/route.ts (3) | src/modules/domain/forecast/types.ts (2) | src/modules/domain/forecast/daily-review.service.ts (1),app_job_run | ops_calendar_event | v_ops_holiday_factor,预测改读v_ops_holiday_factor；日历同步统一记录app_job_run。,HIGH,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
BakeryOps,bakery_ops,hourly_sales_summary,READ + AMBIGUOUS,9,src/modules/domain/forecast/data-driven-target.ts (2) | src/modules/domain/forecast/ops-data-query.ts (2) | src/modules/domain/forecast/sell-through.ts (2) | src/modules/domain/forecast/engine/timeslot-allocation.ts (1) | src/modules/domain/forecast/stockout-detector.service.ts (1) | src/modules/skills/daily-review-chat/daily-review-chat.definition.ts (1),pos_sales_hour | v_pos_sales_hour_current,res_api改写新小时表；分析只读 current 视图，source_guest_count 不得标成进店客流。,CRITICAL,已启用的 ops_*、hr_*、scm_*、msg_*、ai_*；app_job_run。质量结论由只读核对视图派生，不写跨域多态质量表。,不得直接写 finance_*、cost_card_*、pos_* 的来源事实。人工运营动作写 ops_*，不要覆盖 POS 或财务来源事实。,静态文本扫描线索，不等于运行时调用证明；切换前需契约测试和生产日志核对。
