r5_object,r6_disposition,r6_target,phase1_physical,full_catalog_physical_contract,extension_or_condition,reason,claude_fable_5,final_override
app_schema_migration,PHASE1_PLATFORM_SIDECAR,app_schema_migration,YES,YES,,按代码仓库分别记录已执行的迁移，消除多个项目共用单一数字版本造成的冲突。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
app_source_system,PHASE1_CORE_BUSINESS,app_source_system,YES,YES,,登记 RES、Lark、财务模板、人工后台等数据来源及其责任边界。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,CORE_KEEP,NONE
app_unit,PHASE1_CORE_BUSINESS,app_unit,YES,YES,,登记产品、原料、配方、采购和库存共同使用的计量单位；单位代码只表达计量含义，不夹带某个供应商包装规格。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,CORE_KEEP,NONE
app_job_run,PHASE1_PLATFORM_SIDECAR,app_job_run,YES,YES,,统一记录抓取、预测、成本计算和同步任务每次运行的输入窗口、结果和错误。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
app_audit_event,PHASE1_PLATFORM_SIDECAR,app_audit_event,YES,YES,,只追加记录登录、权限、人工改数、审批和敏感读取等受控操作。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
app_user,PHASE1_PLATFORM_SIDECAR,app_user,YES,YES,,统一财务、BakeryOps及未来后台的登录账号；不等同于员工自然人。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
app_role,PHASE1_PLATFORM_SIDECAR,app_role,YES,YES,,定义可分配给账号的角色集合。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
app_permission,EXTENSION_LATER,app_permission,NO,YES,FINE_GRAINED_ACCESS: 细粒度权限,定义最小可授权动作，例如读取成本、发布班表或管理账号。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,EXTENSION_LATER,NONE
app_user_role,PHASE1_PLATFORM_SIDECAR,app_user_role,YES,YES,,记录账号在有效期内拥有的角色。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
app_role_permission,EXTENSION_LATER,app_role_permission,NO,YES,FINE_GRAINED_ACCESS: 细粒度权限,按生效区间把原子权限组合进角色，并保留撤销历史。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,EXTENSION_LATER,NONE
app_user_location_scope,PHASE1_PLATFORM_SIDECAR,app_user_location_scope,YES,YES,,限制一项账号角色分配可以读取或操作哪些门店、厨房或仓库，避免多角色账号的地点范围互相串用。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
app_session,PHASE1_PLATFORM_SIDECAR,app_session,YES,YES,,保存经过哈希的登录会话及其过期和撤销状态。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
app_one_time_token,PHASE1_PLATFORM_SIDECAR,app_one_time_token,YES,YES,,为 HBTI、重置密码或一次性公开流程保存哈希令牌和消费状态。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
app_rate_limit_event,PHASE1_PLATFORM_SIDECAR,app_rate_limit_event,YES,YES,,记录受保护接口的限流计数，替代 HBTI 专用的孤立限流表。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
ops_location,PHASE1_CORE_BUSINESS,ops_location,YES,YES,,统一表示门店、中央厨房、仓库、办公室或兼具多种能力的地点。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,CORE_KEEP,NONE
ops_location_source_identity,PHASE1_CORE_BUSINESS,ops_location_source_identity,YES,YES,,把 RES、Lark、财务模板等外部地点编号映射到统一 location_id，并保留有效期。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,CORE_KEEP,NONE
ops_product,PHASE1_CORE_BUSINESS,ops_product,YES,YES,,维护 HOT CRUSH 可销售、可生产产品的稳定身份，不等同于某门店 POS listing。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,CORE_KEEP,NONE
ops_product_alias,PHASE1_CORE_BUSINESS,ops_product_alias,YES,YES,,保存人工输入、Excel和历史系统中的产品别称，并明确归一到 product_id。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,CORE_KEEP,NONE
