domain,domain_name,table_name,chinese_name,purpose,row_grain,writer,readers,source,foundation_tier,lifecycle,lifecycle_meaning,mutation_policy,mutation_policy_meaning,storage_class,minimum_grain_verdict,derivability,derived_fields_or_outputs,audit_action,original_r4_disposition,claude_fable_5_result,why_stored_not_view,retention,primary_key,outgoing_foreign_keys,incoming_references,read_only_views,unique_constraints,nulls_not_distinct_uniques,nulls_distinct_uniques,exclusion_constraints,table_checks,notes
app,治理、权限与质量,app_schema_migration,迁移版本台账,按代码仓库分别记录已执行的迁移，消除多个项目共用单一数字版本造成的冲突。,代码仓库 × 迁移版本一行,受控迁移执行器,所有项目,各项目迁移目录,CORE_PLATFORM,CORE_MIGRATION,承接现有数据/契约或作为无损迁移必需治理底座,APPEND_ONLY,写入后不可修改；更正追加新事实或冲销事件,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,按代码仓库分别记录已执行的迁移，消除多个项目共用单一数字版本造成的冲突。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,永久保留,migration_id,,,,repository_code + migration_version,,,,execution_ms IS NULL OR execution_ms >= 0,
app,治理、权限与质量,app_source_system,来源系统注册表,登记 RES、Lark、财务模板、人工后台等数据来源及其责任边界。,每个可区分的数据来源系统一行,平台管理员,所有项目,人工配置,CORE_BUSINESS,CORE_MIGRATION,承接现有数据/契约或作为无损迁移必需治理底座,CONTROLLED_UPDATE,主数据允许受权限、审计和并发控制的更新,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,登记 RES、Lark、财务模板、人工后台等数据来源及其责任边界。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,永久保留；停用来源仅改状态,source_system_id,,app_job_run.source_system_id | finance_import_batch.source_system_id | hr_application.source_system_id | hr_application_stage_event.source_system_id | hr_employment_mapping_review.source_system_id | hr_employment_source_identity.source_system_id | hr_timesheet_sync_batch.source_system_id | mkt_reward_claim.source_system_id | mkt_survey_response.source_system_id | mkt_survey_result.source_system_id | msg_delivery_event.source_system_id | ops_location_source_identity.source_system_id | ops_product_alias.source_system_id | pos_ingest_batch.source_system_id | pos_member.source_system_id | pos_member_card.source_system_id | pos_member_card_transaction.source_system_id | pos_order.source_system_id | pos_payment.source_system_id | pos_product_listing.source_system_id | pos_refund.source_system_id | scm_inventory_count.source_system_id | scm_material_alias.source_system_id | scm_material_source_identity.source_system_id | scm_material_unit_conversion.source_system_id | scm_supplier_price_observation.source_system_id,,source_code,,,,source_system_id <> '00000000-0000-0000-0000-000000000000',
app,治理、权限与质量,app_unit,统一计量单位,登记产品、原料、配方、采购和库存共同使用的计量单位；单位代码只表达计量含义，不夹带某个供应商包装规格。,一个受控计量单位一行,数据治理管理员,BakeryOps | 财务网站 | RES/POS | 分析/BI,企业单位字典和人工批准,CORE_BUSINESS,CORE_MIGRATION,承接现有数据/契约或作为无损迁移必需治理底座,CONTROLLED_UPDATE,主数据允许受权限、审计和并发控制的更新,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,登记产品、原料、配方、采购和库存共同使用的计量单位；单位代码只表达计量含义，不夹带某个供应商包装规格。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,永久保留；已引用单位不得物理删除,unit_id,canonical_unit_id → app_unit.unit_id | created_by_user_id → app_user.user_id,app_unit.canonical_unit_id | cost_card_recipe_component.input_unit_id | cost_card_recipe_version.yield_unit_id | ops_dispatch_line.unit_id | ops_product.base_unit_id | ops_production_plan_line.unit_id | ops_production_run_line.unit_id | scm_inventory_count_line.raw_unit_id | scm_material.base_unit_id | scm_material_unit_conversion.from_unit_id | scm_material_unit_conversion.to_unit_id | scm_purchase_order_line.order_unit_id | scm_supplier_item.order_unit_id | scm_supplier_price_observation.raw_price_unit_id,,unit_code,,,,canonical_unit_id IS NULL OR canonical_unit_id <> unit_id,全局可换算单位使用 canonical_unit_id + factor_to_canonical；供应商包装或特定原料换算使用 scm_material_unit_conversion。
app,治理、权限与质量,app_job_run,自动任务运行记录,统一记录抓取、预测、成本计算和同步任务每次运行的输入窗口、结果和错误。,某个任务的一次运行一行,任务调度平台,所有项目 | 分析/BI,各自动任务,CORE_PLATFORM,CORE_MIGRATION,承接现有数据/契约或作为无损迁移必需治理底座,CONTROLLED_UPDATE_UNTIL_TERMINAL,运行或同步进入终态前可更新，终态后冻结并以新运行重算,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,,R6_MERGE_INTO: calendar imports and cost refreshes use the generic job-run ledger,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_KEEP_PLUS_MERGED_R5_OBJECT,统一记录抓取、预测、成本计算和同步任务每次运行的输入窗口、结果和错误。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,至少保留 24 个月；失败运行保留更久以支持审计,job_run_id,source_system_id → app_source_system.source_system_id,ai_call.job_run_id | app_audit_event.job_run_id | finance_import_batch.job_run_id | hr_application_stage_event.job_run_id | hr_timesheet_sync_batch.job_run_id | msg_outbound_message.job_run_id | ops_calendar_event.job_run_id | ops_forecast_run.job_run_id | ops_shift_plan_version.source_job_run_id | ops_stockout_event.detected_job_run_id | ops_workload_run.job_run_id | pos_ingest_batch.job_run_id | scm_material_requirement_run.job_run_id | scm_replenishment_run.job_run_id,,,,,,,
app,治理、权限与质量,app_audit_event,受控操作审计流水,只追加记录登录、权限、人工改数、审批和敏感读取等受控操作。,一次已完成或拒绝的受控操作一行,数据库受控审计函数,安全管理员 | 审计/BI,所有应用的受控写入接口,CORE_PLATFORM,CORE_MIGRATION,承接现有数据/契约或作为无损迁移必需治理底座,APPEND_ONLY,写入后不可修改；更正追加新事实或冲销事件,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,只追加记录登录、权限、人工改数、审批和敏感读取等受控操作。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,永久保留；只允许追加，不允许应用账号 UPDATE/DELETE,audit_event_id,actor_user_id → app_user.user_id | job_run_id → app_job_run.job_run_id,,,,,,,,object_type/object_id 是审计元数据，不是业务关系。业务查询必须使用各域真实外键；删除或改名业务对象不会级联修改审计流水。object_type 受域前缀格式约束，object_id 受 UUID 类型约束，仍不能据此声称数据库验证了它指向哪张表。
app,治理、权限与质量,app_user,统一应用账号,统一财务、BakeryOps及未来后台的登录账号；不等同于员工自然人。,每个可登录或可代表服务的账号一行,身份管理服务,所有应用,管理员创建、单点登录或服务账号配置,CORE_PLATFORM,CORE_MIGRATION,承接现有数据/契约或作为无损迁移必需治理底座,CONTROLLED_UPDATE,主数据允许受权限、审计和并发控制的更新,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,统一财务、BakeryOps及未来后台的登录账号；不等同于员工自然人。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,账号停用后保留审计所需最短期限，不物理删除被审计引用的账号,user_id,person_id → hr_person.person_id,ai_call.actor_user_id | ai_prompt_segment.approved_by_user_id | ai_prompt_segment.created_by_user_id | ai_prompt_template.approved_by_user_id | ai_prompt_template.created_by_user_id | app_audit_event.actor_user_id | app_one_time_token.user_id | app_role_permission.granted_by_user_id | app_session.user_id | app_unit.created_by_user_id | app_user_location_scope.granted_by_user_id | app_user_role.granted_by_user_id | app_user_role.user_id | cost_card_material_price.approved_by_user_id | cost_card_material_price.created_by_user_id | cost_card_recipe_version.approved_by_user_id | cost_card_recipe_version.created_by_user_id | finance_import_batch.approved_by_user_id | finance_import_batch.created_by_user_id | finance_period_category_map.approved_by_user_id | finance_period_category_map.created_by_user_id | finance_target.approved_by_user_id | finance_target.created_by_user_id | hr_application.created_by_user_id | hr_application_stage_event.actor_user_id | hr_appointment.confirmed_by_user_id | hr_appointment.created_by_user_id | hr_employee_event.recorded_by_user_id | hr_employment.created_by_user_id | hr_employment_mapping_review.created_by_user_id | hr_employment_mapping_review.reviewed_by_user_id | hr_employment_source_identity.created_by_user_id | hr_job_requisition.approved_by_user_id | hr_job_requisition.created_by_user_id | hr_offer.created_by_user_id | hr_onboarding_task.completed_by_user_id | hr_onboarding_task.created_by_user_id | hr_person.created_by_user_id | hr_person_contact.created_by_user_id | hr_screening_rule.approved_by_user_id | hr_screening_rule.created_by_user_id | hr_training_assignment.assigned_by_user_id | hr_training_course.created_by_user_id | hr_training_course_version.created_by_user_id | hr_training_result.verified_by_user_id | mkt_campaign_version.approved_by_user_id | mkt_campaign_version.created_by_user_id | mkt_reward.created_by_user_id | mkt_reward_claim.redeemed_by_user_id | mkt_survey_question.created_by_user_id | mkt_survey_question_option.created_by_user_id | msg_conversation.app_user_id | msg_outbound_message.queued_by_user_id | ops_business_rule.approved_by_user_id | ops_business_rule.created_by_user_id | ops_daily_review.approved_by_user_id | ops_daily_review.created_by_user_id | ops_dispatch.created_by_user_id | ops_location_source_identity.created_by_user_id | ops_operational_event.created_by_user_id | ops_operational_event_product.created_by_user_id | ops_product.created_by_user_id | ops_product_alias.created_by_user_id | ops_production_plan_line.confirmed_by_user_id | ops_production_plan_version.approved_by_user_id | ops_production_plan_version.created_by_user_id | ops_production_run.created_by_user_id | ops_review_action.created_by_user_id | ops_role.created_by_user_id | ops_role_training_requirement.created_by_user_id | ops_shift_assignment.created_by_user_id | ops_shift_assignment.override_approved_by_user_id | ops_shift_plan_version.approved_by_user_id | ops_shift_plan_version.created_by_user_id | ops_station.created_by_user_id | ops_stockout_event.created_by_user_id | pos_product_mapping.created_by_user_id | pos_product_mapping_review.created_by_user_id | pos_product_mapping_review.reviewed_by_user_id | scm_goods_receipt.created_by_user_id | scm_inventory_count.approved_by_user_id | scm_inventory_count.created_by_user_id | scm_inventory_movement.created_by_user_id | scm_material.created_by_user_id | scm_material_alias.created_by_user_id | scm_material_source_identity.created_by_user_id | scm_material_unit_conversion.created_by_user_id | scm_material_unit_conversion.verified_by_user_id | scm_purchase_order_revision.approved_by_user_id | scm_purchase_order_revision.created_by_user_id | scm_replenishment_line.approved_by_user_id | scm_replenishment_line.created_by_user_id | scm_supplier.created_by_user_id | scm_supplier_item.confirmed_by_user_id | scm_supplier_item.created_by_user_id | scm_supplier_item_mapping_review.created_by_user_id | scm_supplier_item_mapping_review.reviewed_by_user_id | scm_supplier_price_observation.verified_by_user_id,,username,,,,,failed_login_count 和 last_login_at 是认证路径必须原子读取/更新的安全状态缓存，不是分析事实；notification_subscription_codes 是消息路由需要读取的当前偏好集合，不代表权限或雇佣岗位，更新必须校验已登记消息类型并写 app_audit_event；人员出勤绝不能读取这些账号状态字段。
app,治理、权限与质量,app_role,应用角色,定义可分配给账号的角色集合。,一个角色一行,身份管理服务,所有应用,管理员配置,CORE_PLATFORM,CORE_MIGRATION,承接现有数据/契约或作为无损迁移必需治理底座,CONTROLLED_UPDATE,主数据允许受权限、审计和并发控制的更新,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,定义可分配给账号的角色集合。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,业务存续期内保留；归档规则在实施前确认,role_id,,app_role_permission.role_id | app_user_role.role_id,,role_code,,,,,
app,治理、权限与质量,app_permission,应用权限,定义最小可授权动作，例如读取成本、发布班表或管理账号。,一个原子权限一行,身份管理服务,所有应用,代码声明后由管理员批准,EXTENSION_PACK:FINE_GRAINED_ACCESS,PLANNED_MODULE,目标结构已设计，但当前未确认生产写入者；模块获批时才实施,CONTROLLED_UPDATE,主数据允许受权限、审计和并发控制的更新,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,定义最小可授权动作，例如读取成本、发布班表或管理账号。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,业务存续期内保留；归档规则在实施前确认,permission_id,,app_role_permission.permission_id,,permission_code,,,,,
app,治理、权限与质量,app_user_role,账号角色分配,记录账号在有效期内拥有的角色。,账号 × 角色 × 生效区间一行,身份管理服务,所有应用,管理员授权,CORE_PLATFORM,CORE_MIGRATION,承接现有数据/契约或作为无损迁移必需治理底座,CONTROLLED_UPDATE_UNTIL_TERMINAL,运行或同步进入终态前可更新，终态后冻结并以新运行重算,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,记录账号在有效期内拥有的角色。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,业务存续期内保留；归档规则在实施前确认,user_role_id,user_id → app_user.user_id | role_id → app_role.role_id | granted_by_user_id → app_user.user_id,app_user_location_scope.user_role_id,,user_id + role_id + valid_from,,,"NO_OVERLAP(user_id, role_id, tstzrange(valid_from, LEAST(COALESCE(valid_to, 'infinity'), COALESCE(revoked_at, 'infinity')), '[)'))",valid_to IS NULL OR valid_to > valid_from | revoked_at IS NULL OR revoked_at > valid_from,授予后仅允许补写 revoked_at 或受控缩短 valid_to；授权主体、角色和起点冻结，所有修改进入 app_audit_event。
app,治理、权限与质量,app_role_permission,角色权限关系,按生效区间把原子权限组合进角色，并保留撤销历史。,角色 × 权限 × 生效区间一行,身份管理服务,所有应用,管理员配置,EXTENSION_PACK:FINE_GRAINED_ACCESS,PLANNED_MODULE,目标结构已设计，但当前未确认生产写入者；模块获批时才实施,CONTROLLED_UPDATE_UNTIL_TERMINAL,运行或同步进入终态前可更新，终态后冻结并以新运行重算,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,按生效区间把原子权限组合进角色，并保留撤销历史。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,业务存续期内保留；归档规则在实施前确认,role_permission_id,role_id → app_role.role_id | permission_id → app_permission.permission_id | granted_by_user_id → app_user.user_id,,,role_id + permission_id + valid_from,,,"NO_OVERLAP(role_id, permission_id, tstzrange(valid_from, LEAST(COALESCE(valid_to, 'infinity'), COALESCE(revoked_at, 'infinity')), '[)'))",valid_to IS NULL OR valid_to > valid_from | revoked_at IS NULL OR revoked_at > valid_from,授予后角色、权限和起点冻结；只允许受控关闭 valid_to 或首次写入 revoked_at，变更必须进入 app_audit_event。
