object_type,object_name,ordinal_position,column_name,data_type,nullable,default,identity_kind,generated_kind,meaning,meaning_evidence_status,constraints,misuse_warning
table,ai_call_log,1,id,integer,False,nextval('ai_call_log_id_seq'::regclass),,,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,primary_key: PRIMARY KEY (id),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,ai_call_log,2,caller,character varying(80),True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,ai_call_log,3,model,character varying(80),True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,ai_call_log,4,prompt,text,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,ai_call_log,5,response,text,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,ai_call_log,6,prompt_tokens,integer,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,ai_call_log,7,completion_tokens,integer,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,ai_call_log,8,latency_ms,integer,True,—,,,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,ai_call_log,9,created_at,timestamp with time zone,True,now(),,,该行首次写入数据库的时间。,合理推测：通用命名；需代码确认,,现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
table,ai_daily_correction,1,id,integer,False,nextval('ai_daily_correction_id_seq'::regclass),,,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,primary_key: PRIMARY KEY (id),现有列的业务定义若为待验证，不应直接复制到目标库；先以写入代码和样本数据核对。
