object_type,object_name,row_count_exact,purpose_or_comment,grain,grain_evidence_status,primary_key,foreign_keys,unique_constraints,check_constraints,static_runtime_readers,static_runtime_writers,disposition,target_objects,risk
table,ai_call_log,131,AI 调用流水，一行一次 LLM 调用：调用方 caller（chatCompletion / chatCompletionMessages / jsonCompletion）、模型名、完整 prompt 与 response 全文、token 数、耗时毫秒；bakery-ops 的 openrouter provider 在成功返回后异步写入，用于离线回放排查「AI 建议不对」。非业务表，prompt/response 是大文本且会持续增长，不要在 Table Editor 里直接全表拉取,AI 调用流水，一行一次 LLM 调用：调用方 caller（chatCompletion / chatCompletionMessages / jsonCompletion）、模型名、完整 prompt 与 response 全文、token 数、耗时毫秒,已确认：生产库表注释,PRIMARY KEY (id),,,,未由静态扫描确认,bakery_ops,SPLIT_REDACT,ai_call,HIGH
table,ai_daily_correction,0,空表（0 行）：设计用于存放店长在前端点「采纳 AI 修正」后落库的整日排产系数修正，一天一行（date 唯一），带 coefficient、原因和采纳人/采纳时间审计；bakery-ops ai-correction.repository 写，且只有环境变量 AI_CORRECTION_APPLY 打开时排产才会读取。当前功能未启用,空表（0 行）：设计用于存放店长在前端点「采纳 AI 修正」后落库的整日排产系数修正，一天一行（date 唯一），带 coefficient、原因和采纳人/采纳时间审计,已确认：生产库表注释,PRIMARY KEY (id),,UNIQUE (date),,未由静态扫描确认,未由静态扫描确认,MERGE,ops_production_plan_line | ai_call,MEDIUM
table,app_audit_log,331,财务分析网站的增删改审计流水，一行一次操作（登录/登出/改密、成本卡新建改归档、原料价格回填、AI 洞察调用），带 before_data / after_data 变更前后快照。务必与 audit_log 区分：audit_log 是 bakery-ops 的 skill 执行日志，两表来源、粒度、写者完全不同，毫无关系,财务分析网站的增删改审计流水，一行一次操作（登录/登出/改密、成本卡新建改归档、原料价格回填、AI 洞察调用），带 before_data / after_data 变更前后快照,已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (user_id) REFERENCES app_user(id) ON DELETE SET NULL,,"CHECK (btrim(action) <> ''::text) | CHECK (btrim(object_type) <> ''::text) | CHECK (result = ANY (ARRAY['success'::text, 'denied'::text, 'failed'::text, 'attempted'::text]))",finance_web,finance_web,MIGRATE,app_audit_event,HIGH
table,app_role,3,财务分析网站的角色字典，一行一个角色，当前仅 viewer/editor/admin 三行，由 sql/030_app_auth_rbac.sql 种子写入，日常不变。配置表，权限判定要连 app_role_permission 一起看,财务分析网站的角色字典，一行一个角色，当前仅 viewer/editor/admin 三行，由 sql/030_app_auth_rbac.sql 种子写入，日常不变,已确认：生产库表注释,PRIMARY KEY (id),,UNIQUE (code),"CHECK (code ~ '^[a-z][a-z0-9_.-]*$'::text) | CHECK (btrim(name) <> ''::text) | CHECK (permissions <@ ARRAY['finance.read'::text, 'finance.import'::text, 'cost_card.read'::text, 'cost_card.write'::text, 'cost_card.publish'::text, 'cost_item.price.write'::text, 'admin.users'::text, 'audit.read'::text])",finance_web,未由静态扫描确认,MIGRATE,app_role,MEDIUM
table,app_session,70,财务分析网站的登录会话表，一行一个会话（uuid + 会话令牌的 sha256 哈希，约 12 小时过期，登出写 revoked_at）。仅供鉴权用的非业务表，可按 expires_at 安全清理，勿当作用户活跃度统计,财务分析网站的登录会话表，一行一个会话（uuid + 会话令牌的 sha256 哈希，约 12 小时过期，登出写 revoked_at）,已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (user_id) REFERENCES app_user(id) ON DELETE CASCADE,UNIQUE (token_hash),CHECK (expires_at > created_at) | CHECK (token_hash ~ '^[0-9a-f]{64}$'::text),finance_web,finance_web,REISSUE_NOT_MIGRATE,app_session,HIGH
table,app_user,2,财务分析网站的登录账号表，一行一个账号（bigint 主键 + username + password_hash + 锁定/强制改密状态），由财务站 api/_lib/auth.js 与 api/users.js 读写。务必与 users 区分：users 是 bakery-ops 的 WhatsApp/IM 身份表（uuid + 手机号 + permissions[]、无密码），两表无外键无映射，不是同一套账号体系,财务分析网站的登录账号表，一行一个账号（bigint 主键 + username + password_hash + 锁定/强制改密状态），由财务站 api/_lib/auth.js 与 api/users.js 读写,已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (role_code) REFERENCES app_role(code) ON UPDATE CASCADE ON DELETE RESTRICT,,CHECK (btrim(display_name) <> ''::text) | CHECK (failed_login_count >= 0) | CHECK (btrim(password_hash) <> ''::text) | CHECK (btrim(username) <> ''::text),finance_web,finance_web,MIGRATE,app_user | app_user_role,HIGH
table,app_user_role_pre083,2,083 删表前的留档（app_user_role 的 2 行）。角色现在在 app_user.role_code 上。确认无误后可删。,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,未由静态扫描确认,未由静态扫描确认,ARCHIVE_DROP,,LOW
table,app_user_store_scope,0,财务站账号的门店可见范围授权，一行一条“账号-门店”授权（store 外键指向 finance_store）。当前为空表（0 行）：没有任何账号被限制门店，管理员按不限门店处理，普通账号按无门店授权处理。由 api/_lib/store-scope.js 读取,财务站账号的门店可见范围授权，一行一条“账号-门店”授权（store 外键指向 finance_store）,已确认：生产库表注释,"PRIMARY KEY (user_id, store)",FOREIGN KEY (assigned_by) REFERENCES app_user(id) ON DELETE SET NULL | FOREIGN KEY (store) REFERENCES finance_store(store) ON UPDATE CASCADE ON DELETE RESTRICT | FOREIGN KEY (user_id) REFERENCES app_user(id) ON DELETE CASCADE,,,finance_web,未由静态扫描确认,MIGRATE_REKEY,app_user_role | app_user_location_scope,HIGH
table,applications,125,候选人投递记录，一行一个候选人对一个岗位（job_openings），stage 为招聘阶段枚举 application_stage（new/contacting/first_interview/trial/…/hired/rejected/backup_pool），由 bakery-ops 的 JobStreet 每日 12:00 拉取与 WhatsApp 招聘 FSM 写入。区别于 employees：employees 是一行一人的员工主档，本表只有在录用时才通过 employee_id 关联过去,候选人投递记录，一行一个候选人对一个岗位（job_openings），stage 为招聘阶段枚举 application_stage（new/contacting/first_interview/trial/…/hired/rejected/backup_pool），由 bakery-ops 的 JobStreet 每日 12:00 拉取与 WhatsApp 招聘 FSM 写入,已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (employee_id) REFERENCES employees(id) | FOREIGN KEY (job_opening_id) REFERENCES job_openings(id) | FOREIGN KEY (store_id) REFERENCES ops_store(store_code),,"CHECK (contact_status = ANY (ARRAY['ready'::text, 'needs_manual'::text])) | CHECK (role_area = ANY (ARRAY['FOH'::text, 'BOH'::text]))",bakery_ops,未由静态扫描确认,MIGRATE_REKEY,hr_person | hr_application | hr_employment_source_identity,HIGH
table,appointments,1,面试或试工预约，一行一次预约（kind = interview / trial），挂在 applications 下，由 bakery-ops 招聘 FSM 与面试/试工日报写入；confirmed_by_user_id 引用 users(user_id)（WhatsApp 身份表），不是财务站的 app_user,面试或试工预约，一行一次预约（kind = interview / trial），挂在 applications 下，由 bakery-ops 招聘 FSM 与面试/试工日报写入,已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (application_id) REFERENCES applications(id) | FOREIGN KEY (confirmed_by_user_id) REFERENCES staff(user_id) | FOREIGN KEY (store_id) REFERENCES ops_store(store_code),,"CHECK (kind = ANY (ARRAY['interview'::text, 'trial'::text])) | CHECK (role_area = ANY (ARRAY['FOH'::text, 'BOH'::text])) | CHECK (trial_duration = ANY (ARRAY['1小时'::text, '4小时'::text]))",未由静态扫描确认,未由静态扫描确认,MIGRATE,hr_appointment,MEDIUM
