current_object_type,current_object,ordinal_position,current_field,current_data_type,current_nullable,current_meaning,meaning_evidence_status,field_disposition,target_field_or_disposition,mapping_basis,field_migration_rule,object_migration_rule,compatibility_rule,risk,implementation_status
table,ai_call_log,1,id,integer,False,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:ai_call,OBJECT_TRANSFORMATION_RULE,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,BakeryOps先双写新ai_call；历史回放工具改读受限归档。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,ai_call_log,2,caller,character varying(80),True,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:ai_call,OBJECT_TRANSFORMATION_RULE,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,BakeryOps先双写新ai_call；历史回放工具改读受限归档。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,ai_call_log,3,model,character varying(80),True,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:ai_call,OBJECT_TRANSFORMATION_RULE,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,BakeryOps先双写新ai_call；历史回放工具改读受限归档。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,ai_call_log,4,prompt,text,True,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:ai_call,OBJECT_TRANSFORMATION_RULE,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,BakeryOps先双写新ai_call；历史回放工具改读受限归档。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,ai_call_log,5,response,text,True,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:ai_call,OBJECT_TRANSFORMATION_RULE,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,BakeryOps先双写新ai_call；历史回放工具改读受限归档。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,ai_call_log,6,prompt_tokens,integer,True,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:ai_call,OBJECT_TRANSFORMATION_RULE,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,BakeryOps先双写新ai_call；历史回放工具改读受限归档。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,ai_call_log,7,completion_tokens,integer,True,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:ai_call,OBJECT_TRANSFORMATION_RULE,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,BakeryOps先双写新ai_call；历史回放工具改读受限归档。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,ai_call_log,8,latency_ms,integer,True,生产库没有该字段注释；仅凭字段名无法可靠确认其业务数据、单位或口径。,待验证,PRESERVE_IF_SEMANTICS_MATCH,ai_call.latency_ms,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,BakeryOps先双写新ai_call；历史回放工具改读受限归档。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,ai_call_log,9,created_at,timestamp with time zone,True,该行首次写入数据库的时间。,合理推测：通用命名；需代码确认,PRESERVE_IF_SEMANTICS_MATCH,ai_call.created_at,UNIQUE_SAME_NAME_CANDIDATE,必须通过类型、空值、单位、时间和样本对账；同名本身不是迁移证据。失败则按对象迁移规则转换。,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,BakeryOps先双写新ai_call；历史回放工具改读受限归档。,HIGH,DESIGN_EXPLICIT_NOT_EXECUTED
table,ai_daily_correction,1,id,integer,False,该表当前使用的技术行标识；具体稳定性取决于表约束。,合理推测：通用命名；需代码确认,TRANSFORM_BY_OBJECT_RULE,OBJECT_TARGETS:ops_production_plan_line | ai_call,OBJECT_TRANSFORMATION_RULE,有对应计划版本和产品身份的采纳记录迁入新计划版本行的调整原因、上版计划行、AI调用和确认账号字段；无法定位版本的记录只归档为历史证据。,有对应计划版本和产品身份的采纳记录迁入新计划版本行的调整原因、上版计划行、AI调用和确认账号字段；无法定位版本的记录只归档为历史证据。,旧功能关闭前提供只读兼容视图，禁止继续维护独立调整表或独立生效系数。,MEDIUM,DESIGN_EXPLICIT_NOT_EXECUTED
