object_type,domain,table_name,table_chinese_name,table_purpose,row_grain,field_position,field_name,field_chinese_name,data_type,nullable,default,stored_data,business_purpose,source_system,writer,foundation_tier,view_readiness_status,view_readiness_blockers,view_grain_key,key_and_constraints,foreign_key_activation,table_unique_constraints,table_exclusion_constraints,table_checks,time_semantics,history_version_semantics,sensitivity,example,misuse_warning,lifecycle,mutation_policy,minimum_grain_verdict,storage_class,derivability,why_stored_not_view
TABLE,ai,ai_call,AI调用流水,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。,一次模型请求一行,1,ai_call_id,AI调用ID,uuid,False,gen_random_uuid(),一次模型调用稳定主键。,作为稳定连接键，避免使用名称、手机号或外部编号跨模块关联。,应用AI调用,BakeryOps AI服务,PHASE1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PK,WITH_TABLE,,,"completed_at IS NULL OR completed_at >= started_at | validation_status: validation_status IN ('VALID','INVALID_SCHEMA','SAFETY_BLOCKED','INCOMPLETE','NOT_APPLICABLE') | input_tokens: input_tokens IS NULL OR input_tokens >= 0 | output_tokens: output_tokens IS NULL OR output_tokens >= 0 | cost_usd: cost_usd IS NULL OR cost_usd >= 0 | latency_ms: latency_ms IS NULL OR latency_ms >= 0 | status: status IN ('RUNNING','SUCCEEDED','FAILED','CANCELLED','BLOCKED')",NOT_APPLICABLE,CONTROLLED_UPDATE_UNTIL_TERMINAL,none,b54a374d-3dfa-5920-b9b1-67c507eefc5b,,CORE_MIGRATION,CONTROLLED_UPDATE_UNTIL_TERMINAL,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,CORE_PLATFORM_STATE,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。
TABLE,ai,ai_call,AI调用流水,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。,一次模型请求一行,2,prompt_template_id,模板版本ID,uuid,False,,调用使用的已批准模板版本。,作为稳定连接键，避免使用名称、手机号或外部编号跨模块关联。,应用AI调用,BakeryOps AI服务,PHASE1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,FK->ai_prompt_template.prompt_template_id,WITH_TABLE,,,"completed_at IS NULL OR completed_at >= started_at | validation_status: validation_status IN ('VALID','INVALID_SCHEMA','SAFETY_BLOCKED','INCOMPLETE','NOT_APPLICABLE') | input_tokens: input_tokens IS NULL OR input_tokens >= 0 | output_tokens: output_tokens IS NULL OR output_tokens >= 0 | cost_usd: cost_usd IS NULL OR cost_usd >= 0 | latency_ms: latency_ms IS NULL OR latency_ms >= 0 | status: status IN ('RUNNING','SUCCEEDED','FAILED','CANCELLED','BLOCKED')",NOT_APPLICABLE,CONTROLLED_UPDATE_UNTIL_TERMINAL,none,31a7e519-9430-5234-8d72-b3f041f8eee3,,CORE_MIGRATION,CONTROLLED_UPDATE_UNTIL_TERMINAL,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,CORE_PLATFORM_STATE,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。
TABLE,ai,ai_call,AI调用流水,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。,一次模型请求一行,3,job_run_id,任务运行ID,uuid,True,,自动任务触发时对应运行。,作为稳定连接键，避免使用名称、手机号或外部编号跨模块关联。,应用AI调用,BakeryOps AI服务,PHASE1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,FK->app_job_run.job_run_id,WITH_TABLE,,,"completed_at IS NULL OR completed_at >= started_at | validation_status: validation_status IN ('VALID','INVALID_SCHEMA','SAFETY_BLOCKED','INCOMPLETE','NOT_APPLICABLE') | input_tokens: input_tokens IS NULL OR input_tokens >= 0 | output_tokens: output_tokens IS NULL OR output_tokens >= 0 | cost_usd: cost_usd IS NULL OR cost_usd >= 0 | latency_ms: latency_ms IS NULL OR latency_ms >= 0 | status: status IN ('RUNNING','SUCCEEDED','FAILED','CANCELLED','BLOCKED')",NOT_APPLICABLE,CONTROLLED_UPDATE_UNTIL_TERMINAL,none,2cff0e88-4f40-599c-b319-40b27b321617,,CORE_MIGRATION,CONTROLLED_UPDATE_UNTIL_TERMINAL,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,CORE_PLATFORM_STATE,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。
TABLE,ai,ai_call,AI调用流水,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。,一次模型请求一行,4,actor_user_id,操作账号,uuid,True,,人工触发调用的账号。,作为稳定连接键，避免使用名称、手机号或外部编号跨模块关联。,应用AI调用,BakeryOps AI服务,PHASE1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,FK->app_user.user_id,WITH_TABLE,,,"completed_at IS NULL OR completed_at >= started_at | validation_status: validation_status IN ('VALID','INVALID_SCHEMA','SAFETY_BLOCKED','INCOMPLETE','NOT_APPLICABLE') | input_tokens: input_tokens IS NULL OR input_tokens >= 0 | output_tokens: output_tokens IS NULL OR output_tokens >= 0 | cost_usd: cost_usd IS NULL OR cost_usd >= 0 | latency_ms: latency_ms IS NULL OR latency_ms >= 0 | status: status IN ('RUNNING','SUCCEEDED','FAILED','CANCELLED','BLOCKED')",NOT_APPLICABLE,CONTROLLED_UPDATE_UNTIL_TERMINAL,none,e34d8b81-3f73-52c5-bfa0-158ba9c35656,,CORE_MIGRATION,CONTROLLED_UPDATE_UNTIL_TERMINAL,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,CORE_PLATFORM_STATE,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。
TABLE,ai,ai_call,AI调用流水,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。,一次模型请求一行,5,caller_code,调用方代码,text,False,,发起调用的模块或函数稳定代码。,定位责任和成本。,应用AI调用,BakeryOps AI服务,PHASE1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,WITH_TABLE,,,"completed_at IS NULL OR completed_at >= started_at | validation_status: validation_status IN ('VALID','INVALID_SCHEMA','SAFETY_BLOCKED','INCOMPLETE','NOT_APPLICABLE') | input_tokens: input_tokens IS NULL OR input_tokens >= 0 | output_tokens: output_tokens IS NULL OR output_tokens >= 0 | cost_usd: cost_usd IS NULL OR cost_usd >= 0 | latency_ms: latency_ms IS NULL OR latency_ms >= 0 | status: status IN ('RUNNING','SUCCEEDED','FAILED','CANCELLED','BLOCKED')",NOT_APPLICABLE,CONTROLLED_UPDATE_UNTIL_TERMINAL,none,daily_review_chat,,CORE_MIGRATION,CONTROLLED_UPDATE_UNTIL_TERMINAL,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,CORE_PLATFORM_STATE,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。
TABLE,ai,ai_call,AI调用流水,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。,一次模型请求一行,6,request_id,请求ID,text,True,,贯穿应用和数据库的请求追踪号。,关联日志。,应用AI调用,BakeryOps AI服务,PHASE1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,WITH_TABLE,,,"completed_at IS NULL OR completed_at >= started_at | validation_status: validation_status IN ('VALID','INVALID_SCHEMA','SAFETY_BLOCKED','INCOMPLETE','NOT_APPLICABLE') | input_tokens: input_tokens IS NULL OR input_tokens >= 0 | output_tokens: output_tokens IS NULL OR output_tokens >= 0 | cost_usd: cost_usd IS NULL OR cost_usd >= 0 | latency_ms: latency_ms IS NULL OR latency_ms >= 0 | status: status IN ('RUNNING','SUCCEEDED','FAILED','CANCELLED','BLOCKED')",NOT_APPLICABLE,CONTROLLED_UPDATE_UNTIL_TERMINAL,none,req_01J4...,,CORE_MIGRATION,CONTROLLED_UPDATE_UNTIL_TERMINAL,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,CORE_PLATFORM_STATE,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。
TABLE,ai,ai_call,AI调用流水,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。,一次模型请求一行,7,model_provider,模型提供方,text,False,,实际调用的提供方。,与模板批准值核对。,应用AI调用,BakeryOps AI服务,PHASE1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,WITH_TABLE,,,"completed_at IS NULL OR completed_at >= started_at | validation_status: validation_status IN ('VALID','INVALID_SCHEMA','SAFETY_BLOCKED','INCOMPLETE','NOT_APPLICABLE') | input_tokens: input_tokens IS NULL OR input_tokens >= 0 | output_tokens: output_tokens IS NULL OR output_tokens >= 0 | cost_usd: cost_usd IS NULL OR cost_usd >= 0 | latency_ms: latency_ms IS NULL OR latency_ms >= 0 | status: status IN ('RUNNING','SUCCEEDED','FAILED','CANCELLED','BLOCKED')",NOT_APPLICABLE,CONTROLLED_UPDATE_UNTIL_TERMINAL,none,OPENROUTER,,CORE_MIGRATION,CONTROLLED_UPDATE_UNTIL_TERMINAL,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,CORE_PLATFORM_STATE,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。
TABLE,ai,ai_call,AI调用流水,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。,一次模型请求一行,8,model_name,实际模型,text,False,,提供方最终返回的模型标识。,识别路由替换。,应用AI调用,BakeryOps AI服务,PHASE1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,WITH_TABLE,,,"completed_at IS NULL OR completed_at >= started_at | validation_status: validation_status IN ('VALID','INVALID_SCHEMA','SAFETY_BLOCKED','INCOMPLETE','NOT_APPLICABLE') | input_tokens: input_tokens IS NULL OR input_tokens >= 0 | output_tokens: output_tokens IS NULL OR output_tokens >= 0 | cost_usd: cost_usd IS NULL OR cost_usd >= 0 | latency_ms: latency_ms IS NULL OR latency_ms >= 0 | status: status IN ('RUNNING','SUCCEEDED','FAILED','CANCELLED','BLOCKED')",NOT_APPLICABLE,CONTROLLED_UPDATE_UNTIL_TERMINAL,none,openai/gpt-5,,CORE_MIGRATION,CONTROLLED_UPDATE_UNTIL_TERMINAL,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,CORE_PLATFORM_STATE,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。
TABLE,ai,ai_call,AI调用流水,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。,一次模型请求一行,9,prompt_redacted,脱敏Prompt,text,False,,经过批准规则脱敏后的最终 Prompt 或可审计摘要。,排查结果但不长期复制 PII 和秘密。,应用AI调用,BakeryOps AI服务,PHASE1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,WITH_TABLE,,,"completed_at IS NULL OR completed_at >= started_at | validation_status: validation_status IN ('VALID','INVALID_SCHEMA','SAFETY_BLOCKED','INCOMPLETE','NOT_APPLICABLE') | input_tokens: input_tokens IS NULL OR input_tokens >= 0 | output_tokens: output_tokens IS NULL OR output_tokens >= 0 | cost_usd: cost_usd IS NULL OR cost_usd >= 0 | latency_ms: latency_ms IS NULL OR latency_ms >= 0 | status: status IN ('RUNNING','SUCCEEDED','FAILED','CANCELLED','BLOCKED')",NOT_APPLICABLE,CONTROLLED_UPDATE_UNTIL_TERMINAL,restricted,<redacted prompt>,,CORE_MIGRATION,CONTROLLED_UPDATE_UNTIL_TERMINAL,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,CORE_PLATFORM_STATE,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。
TABLE,ai,ai_call,AI调用流水,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。,一次模型请求一行,10,input_manifest,输入引用清单,jsonb,False,'{}'::jsonb,业务对象ID、版本和字段摘要。,优先引用事实而非复制全量敏感内容。,应用AI调用,BakeryOps AI服务,PHASE1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,WITH_TABLE,,,"completed_at IS NULL OR completed_at >= started_at | validation_status: validation_status IN ('VALID','INVALID_SCHEMA','SAFETY_BLOCKED','INCOMPLETE','NOT_APPLICABLE') | input_tokens: input_tokens IS NULL OR input_tokens >= 0 | output_tokens: output_tokens IS NULL OR output_tokens >= 0 | cost_usd: cost_usd IS NULL OR cost_usd >= 0 | latency_ms: latency_ms IS NULL OR latency_ms >= 0 | status: status IN ('RUNNING','SUCCEEDED','FAILED','CANCELLED','BLOCKED')",NOT_APPLICABLE,CONTROLLED_UPDATE_UNTIL_TERMINAL,internal,"{""daily_review_id"":""...""}",,CORE_MIGRATION,CONTROLLED_UPDATE_UNTIL_TERMINAL,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,CORE_PLATFORM_STATE,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。
