view_name,chinese_name,domain,purpose,row_grain,implementation_tier,readiness_status,readiness_blockers,grain_key,direct_lineage,physical_base_tables,readers,field_count,notes
v_app_data_quality_summary,数据质量总览,app,把各业务域只读核对视图的当前质量结论汇总成统一看板，不复制业务对象、不保存多态 entity_type/entity_id 工单。,source_view_name × domain_code × rule_code × severity × quality_status,PHASE1,BLOCK_MISSING_FACT_OR_RULE,BLOCKED_QUALITY_VIEW_DEPENDENCY | QUALITY_RULE_MAPPING_UNDEFINED | SEVERITY_MAPPING_UNDEFINED | CURRENCY_AGGREGATION_RULE_UNDEFINED | BLOCKED_COST_QUALITY_DEPENDENCY,source_view_name + domain_code + rule_code + severity + quality_status,v_identity_mapping_gap | v_pos_revenue_reconciliation | v_pos_member_daily_summary | v_cost_card_product_cost_quality | v_finance_sales_reconciliation | v_mkt_reward_stock_reconciliation,cost_card_material_cost_selection | cost_card_recipe_component | cost_card_recipe_version | finance_currency_assignment | finance_currency_policy | finance_fx_rate_observation | finance_import_batch | finance_sales_daily | hr_employment_mapping_review | hr_employment_source_identity | mkt_reward_claim | mkt_reward_stock | ops_business_rule | ops_location | ops_location_source_identity | ops_production_plan_line | ops_production_plan_version | pos_daily_breakdown | pos_ingest_batch | pos_item_sales_hour | pos_member_daily_metric | pos_product_listing | pos_product_mapping | pos_product_mapping_review | pos_sales_day | pos_sales_hour | scm_material | scm_material_price_observation | scm_material_source_identity | scm_material_unit_conversion,所有项目 | 分析/BI,10,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_business_timeline,统一经营时间线,app,按地点和营业日统一索引计划、生产、销售、人员、采购、成本、财务和活动事件。,event_domain × event_type × event_id,SOURCE_CONDITIONAL,DEFER_SOURCE,SOURCE_CONTRACT_NOT_VERIFIED:HR_TIMESHEET_ENTRY | EXTENSION_PACK_NOT_ACTIVATED:PROCUREMENT_AND_INVENTORY | EXTENSION_PACK_NOT_ACTIVATED:PRODUCTION_EXECUTION | EXTENSION_PACK_NOT_ACTIVATED:SHIFT_AND_WORKFORCE | BLOCKED_COST_SNAPSHOT_DEPENDENCY | COST_SNAPSHOT_EVENT_ID_TYPE_MISMATCH,event_domain + event_type + event_id,v_pos_sales_day_current | ops_operational_event | ops_production_plan_version | ops_production_run | ops_dispatch | ops_shift_plan_version | v_hr_timesheet_entry_current | scm_purchase_order_revision | scm_goods_receipt | v_cost_card_product_cost_snapshot | finance_import_batch | mkt_campaign_member,cost_card_material_cost_selection | cost_card_recipe_component | cost_card_recipe_version | finance_currency_assignment | finance_currency_policy | finance_fx_rate_observation | finance_import_batch | hr_timesheet_entry | hr_timesheet_sync_batch | mkt_campaign_member | ops_business_rule | ops_dispatch | ops_location | ops_operational_event | ops_production_plan_line | ops_production_plan_version | ops_production_run | ops_shift_plan_version | pos_ingest_batch | pos_item_sales_hour | pos_product_listing | pos_product_mapping | pos_sales_day | scm_goods_receipt | scm_material | scm_material_price_observation | scm_material_unit_conversion | scm_purchase_order_revision,所有项目 | 分析/BI,11,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_cost_card_daily_margin,门店当日毛利汇总,cost,按地点和营业日汇总产品毛利，同时给出全部成本覆盖和可信成本覆盖。,location_id × business_date × sales_currency_code,PHASE1,BLOCK_MISSING_FACT_OR_RULE,BLOCKED_PRODUCT_MARGIN_DEPENDENCY | CURRENCY_PARTITION_RULE_UNDEFINED | COVERAGE_STATUS_THRESHOLD_UNDEFINED,location_id + business_date + sales_currency_code,v_cost_card_product_daily_margin | v_pos_sales_day_current,cost_card_material_cost_selection | cost_card_recipe_component | cost_card_recipe_version | finance_currency_assignment | finance_currency_policy | finance_fx_rate_observation | ops_business_rule | ops_location | ops_production_plan_line | ops_production_plan_version | pos_ingest_batch | pos_item_sales_hour | pos_product_listing | pos_product_mapping | pos_sales_day | scm_material | scm_material_price_observation | scm_material_unit_conversion,财务网站 | BakeryOps | 分析/BI,14,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_cost_card_material_cost_selection_resolved,R6A1结构视图：v_cost_card_material_cost_selection_resolved,cost,为每个地点或全局原料选择当前生效的批准成本价格并显示来源质量。,material_cost_selection_id,PHASE1,BLOCK_MISSING_FACT_OR_RULE,CROSS_TABLE_ELIGIBILITY_TRIGGER_NOT_COMPILED | IDENTITY_PAIR_FX_RULE_NOT_COMPILED | DIRECT_FX_RATE_FRESHNESS_RULE_NOT_COMPILED | POLICY_ROUNDING_NOT_COMPILED | SELECT_SPEC_MISSING,material_cost_selection_id,cost_card_material_cost_selection | scm_material_price_observation | scm_material_unit_conversion | finance_currency_assignment | finance_currency_policy | finance_fx_rate_observation,cost_card_material_cost_selection | finance_currency_assignment | finance_currency_policy | finance_fx_rate_observation | scm_material_price_observation | scm_material_unit_conversion,财务网站 | BakeryOps | 分析/BI,26,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_cost_card_product_cost_component,产品成本组件明细,cost,按营业日和地点把生效配方递归展开到最终原料，并选择当时有效的成本采用价；全部结果可由配方、价格和规则重算，不落第二份成本事实。,target_currency_assignment_id × location_id × business_date × product_id × recipe_version_id × path_component_ids × material_id,PHASE1,BLOCK_MISSING_FACT_OR_RULE,BLOCKED_RECIPE_EXPANSION_DEPENDENCY | PRODUCT_DATE_UNIVERSE_UNDEFINED | COST_SELECTION_EFFECTIVE_TIME_RULE_UNDEFINED | CURRENCY_ASSIGNMENT_EFFECTIVE_TIME_RULE_UNDEFINED | BLOCKED_MATERIAL_COST_RESOLUTION,target_currency_assignment_id + location_id + business_date + product_id + recipe_version_id + path_component_ids + material_id,v_cost_card_recipe_expanded | cost_card_recipe_version | v_cost_card_material_cost_selection_resolved | v_pos_item_sales_day | ops_production_plan_version | ops_production_plan_line | finance_currency_assignment | ops_location,cost_card_material_cost_selection | cost_card_recipe_component | cost_card_recipe_version | finance_currency_assignment | finance_currency_policy | finance_fx_rate_observation | ops_location | ops_production_plan_line | ops_production_plan_version | pos_ingest_batch | pos_item_sales_hour | pos_product_listing | pos_product_mapping | scm_material | scm_material_price_observation | scm_material_unit_conversion,财务网站 | BakeryOps | 分析/BI,19,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_cost_card_product_cost_quality,产品成本质量,cost,显示产品当前成本、组件覆盖、价格新鲜度和可信状态。,target_currency_assignment_id × location_id × business_date × product_id,PHASE1,BLOCK_MISSING_FACT_OR_RULE,BLOCKED_COST_SNAPSHOT_DEPENDENCY | QUALITY_STATUS_PROJECTION_RULE_UNDEFINED | SELECT_SPEC_MISSING,target_currency_assignment_id + location_id + business_date + product_id,v_cost_card_product_cost_snapshot,cost_card_material_cost_selection | cost_card_recipe_component | cost_card_recipe_version | finance_currency_assignment | finance_currency_policy | finance_fx_rate_observation | ops_business_rule | ops_location | ops_production_plan_line | ops_production_plan_version | pos_ingest_batch | pos_item_sales_hour | pos_product_listing | pos_product_mapping | scm_material | scm_material_price_observation | scm_material_unit_conversion,财务网站 | BakeryOps | 分析/BI,11,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_cost_card_product_cost_snapshot,产品成本派生快照,cost,从产品成本组件明细汇总某地点、营业日和产品的单位材料成本，并用批准的成本范围规则明确是否可称为总成本。,target_currency_assignment_id × location_id × business_date × product_id,PHASE1,BLOCK_MISSING_FACT_OR_RULE,BLOCKED_COST_COMPONENT_DEPENDENCY | COST_SCOPE_RULE_UNDEFINED | QUALITY_STATUS_PRECEDENCE_UNDEFINED | CURRENCY_UNIFORMITY_RULE_UNDEFINED | FX_MISSING_PRECEDENCE_UNDEFINED,target_currency_assignment_id + location_id + business_date + product_id,v_cost_card_product_cost_component | ops_business_rule,cost_card_material_cost_selection | cost_card_recipe_component | cost_card_recipe_version | finance_currency_assignment | finance_currency_policy | finance_fx_rate_observation | ops_business_rule | ops_location | ops_production_plan_line | ops_production_plan_version | pos_ingest_batch | pos_item_sales_hour | pos_product_listing | pos_product_mapping | scm_material | scm_material_price_observation | scm_material_unit_conversion,财务网站 | BakeryOps | 分析/BI,17,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_cost_card_product_daily_margin,产品当日毛利,cost,连接产品日销量和当天成本快照，计算销售额、COGS、毛利和覆盖率。,location_id × business_date × product_id × sales_currency_code,PHASE1,BLOCK_MISSING_FACT_OR_RULE,BLOCKED_COST_SNAPSHOT_DEPENDENCY | SALES_COST_CURRENCY_MATCH_RULE_UNDEFINED | MARGIN_QUALITY_RULE_UNDEFINED,location_id + business_date + product_id + sales_currency_code,v_pos_item_sales_day | v_cost_card_product_cost_snapshot,cost_card_material_cost_selection | cost_card_recipe_component | cost_card_recipe_version | finance_currency_assignment | finance_currency_policy | finance_fx_rate_observation | ops_business_rule | ops_location | ops_production_plan_line | ops_production_plan_version | pos_ingest_batch | pos_item_sales_hour | pos_product_listing | pos_product_mapping | scm_material | scm_material_price_observation | scm_material_unit_conversion,财务网站 | BakeryOps | 分析/BI,17,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_cost_card_recipe_current,当前生效配方,cost,按时点选择产品或半成品当前已发布配方版本。,产品或半成品一行,PHASE1,FIX_MODEL_CONTRACT,AS_OF_SEMANTICS_UNRESOLVED,output_product_id + output_material_id,cost_card_recipe_version,cost_card_recipe_version,财务网站 | BakeryOps | 分析/BI,8,"以查询 as_of 时点应用半开区间 effective_from <= as_of AND (effective_to IS NULL OR as_of < effective_to)，仅 status='PUBLISHED'；按产出对象分组并按 effective_from DESC、version_no DESC、recipe_version_id DESC 取一行。每行必须满足 num_nonnulls(output_product_id, output_material_id) = 1。任何两个已发布版本有效期重叠必须先生成 BLOCKER，不能靠排序掩盖。 粒度键中的可空字段按 PostgreSQL NULLS NOT DISTINCT / IS NOT DISTINCT FROM 语义分组和去重，包括：output_product_id, output_material_id；不得让 NULL 绕过去重或产生重复业务行。"
v_cost_card_recipe_expanded,配方展开,cost,递归展开产品和半成品配方到最终统一原料，并保留路径和累计用量。,顶层配方版本 × 路径 × 最终原料一行,PHASE1,BLOCK_MISSING_FACT_OR_RULE,RECIPE_RECURSION_RULE_UNDEFINED | UNIT_CONVERSION_PATH_RULE_UNDEFINED,root_recipe_version_id + path_component_ids + material_id,cost_card_recipe_version | cost_card_recipe_component | scm_material | scm_material_unit_conversion,cost_card_recipe_component | cost_card_recipe_version | scm_material | scm_material_unit_conversion,财务网站 | BakeryOps | 分析/BI,8,只读分析接口，不允许作为业务事实写入口。 粒度键中的可空字段按 PostgreSQL NULLS NOT DISTINCT / IS NOT DISTINCT FROM 语义分组和去重，包括：material_id；不得让 NULL 绕过去重或产生重复业务行。
