current_object,object_type,disposition,target_objects,migration_rule,compatibility_rule,risk
ai_call_log,table,SPLIT_REDACT,ai_call,迁移模型、token、耗时和状态；完整prompt/response先离线PII与秘密扫描，只将批准的脱敏内容写入新库，原文加密归档后按保留期删除。,BakeryOps先双写新ai_call；历史回放工具改读受限归档。,HIGH
ai_daily_correction,table,MERGE,ops_production_plan_line | ai_call,有对应计划版本和产品身份的采纳记录迁入新计划版本行的调整原因、上版计划行、AI调用和确认账号字段；无法定位版本的记录只归档为历史证据。,旧功能关闭前提供只读兼容视图，禁止继续维护独立调整表或独立生效系数。,MEDIUM
app_audit_log,table,MIGRATE,app_audit_event,动作、对象、before/after、请求和时间脱敏迁移；缺少actor映射时使用SERVICE/历史主体说明，不猜账号。旧 object_id 只有通过 UUID 校验才进入 object_id；非 UUID 原文放入受限迁移证据或归档，绝不伪造跨表关系。,财务网站切换到受控审计函数；object_type/object_id 只作审计定位，不作业务连接；旧表冻结只读。,HIGH
app_role,table,MIGRATE,app_role,按role_code迁移并与新权限字典重新审核。,财务网站鉴权先兼容旧role_code，再切新RBAC。,MEDIUM
app_session,table,REISSUE_NOT_MIGRATE,app_session,不迁移活动会话令牌；切换时统一失效并要求重新登录。,切换窗口提前通知，旧会话表短期只用于撤销核查。,HIGH
app_user,table,MIGRATE,app_user | app_user_role,账号状态和密码哈希经算法兼容检查后迁移；role_code转换为角色关系；无法验证哈希则强制改密。,登录接口支持一次性强制改密，不复制明文或临时密码。,HIGH
app_user_role_pre083,table,ARCHIVE_DROP,,校验与现行角色分配一致后导出校验哈希并归档，不进入新库。,无运行时兼容；确认无调用后删除。,LOW
app_user_store_scope,table,MIGRATE_REKEY,app_user_role | app_user_location_scope,先把 user_id 解析为账号，并为迁移时确认的具体角色建立 app_user_role；再将 finance_store 名称通过地点来源证据解析为 location_id，把 assigned_at 作为地点授权 valid_from、assigned_by 解析为 granted_by_user_id。无法唯一确认角色、地点或授权人的记录进入 BLOCKER，不按名称猜填，也不得把一个地点范围默认扩散到该账号的所有角色。,财务网站切换后按 user_role_id + location_id 校验范围；旧接口只在已确认的一对一适配层中接受 user_id/store。,HIGH
applications,table,MIGRATE_REKEY,hr_person | hr_application | hr_employment_source_identity,先按受控身份规则建立person_id，再按岗位需求和来源申请ID迁移；employee_id关联需与employment去重。,BakeryOps招聘API在双读期返回旧字段适配层。,HIGH
appointments,table,MIGRATE,hr_appointment,application和location身份确认后迁移预约类型、时段、状态和确认主体。,招聘FSM切换到新appointment_id。,MEDIUM
business_rule,table,CLASSIFY_VERSION,ops_business_rule | v_ops_holiday_factor,先按语义分类：阈值、排除清单、包装倍数等批准政策转为有schema_version和生效期的ops_business_rule；声称来自历史销量的月/星期/事件系数只有在原始日历事件、销量样本和窗口都可重建时才由视图重新计算。无法证明的系数仅作为DRAFT遗留建议，不落成实测事实。,设置页创建规则新版本；预测只读取ACTIVE规则和可重算的质量合格因子，禁止直接读取遗留JSON。,HIGH
candidate_conversations,table,SPLIT,msg_conversation | msg_conversation_state | hr_application,手机号先映射到受限person contact；FSM状态迁入conversation_state；无法对上申请的会话隔离审核。,招聘消息流程双写会话和状态，旧表只读。,HIGH
chat_history,table,RETENTION_FILTER,msg_conversation | msg_message,仅迁移仍在保留期且可映射会话的最近上下文；旧裁剪语义明确标注，不宣称完整聊天历史。,编排器切换到msg_message最近窗口查询。,MEDIUM
context_event,table,CLASSIFY_SPLIT,ops_calendar_event | ops_operational_event,按来源证据将节假日类和门店突发类分开；无法分类或缺地点的记录进入质量队列。,预测只读批准日历或确认运营事件，不再读取混合表。,HIGH
cost_card_item,table,TYPE_SPLIT,ops_product | ops_product_alias | scm_material | scm_material_source_identity,471条来源成本项目必须逐行且只走一条路：99个product=32个经cost_card_product_link.pos_item_id→POS listing→旧product.item_key独立身份链合并（不改canonical code/name/timestamp，只添alias证据）+67个按source id新建product_code=LEGACY-COST-ITEM-<id>且category_code=LEGACY_COST_CARD_UNCLASSIFIED；372个nonproduct=190 ingredient+171 semi_finished+11 packaging，全部按source id进入scm_material并建立来源身份。名称只作显示/alias证据，绝不合并；item_type只接受product/semi_finished/ingredient/packaging；base_unit实值g372/ea94/个5精确映G/EACH/EACH；active471精确映ACTIVE；source_ref只作独立证据且NULL保持NULL，经2026-08-10只读聚合核实mysql451/manual14/NULL6/other0（旧口述465/5/6错误）。门禁：471=99+372、99=32+67、372=190+171+11，每行唯一route且不得重复消费。,财务成本卡UI重构为产品与原料两套主数据；旧item id通过迁移清单映到product/material，372条物料另有来源身份；任何未知类型、单位或多路命中都阻断。,CRITICAL
cost_card_item_name_lock,table,RETIRE,,不迁移锁行；新库使用规范化唯一索引和事务级advisory lock。,财务写入改造后删除旧锁表。,LOW
cost_card_item_price,table,R6A1_MAPPING_SUPERSEDED_REVIEW_REQUIRED,NO_APPROVED_TARGET_INTENT,R6 的 MYR、MIGRATED_MANUAL 与派生采用价规则已失效；R6A1 只批准目标结构，尚无经批准的逐字段迁移意图。,必须由最新 S0、单位换算、币种指定、政策与直接 FX 证据重新批准；当前不得产生 target intent。,CRITICAL
cost_card_product_link,table,REMODEL,pos_product_mapping | pos_product_mapping_review | cost_card_recipe_version,先把37个裸POS item引用展开为63个实际listing，再逐listing确认统一product；其中36个裸引用对应61个listing可由证据确认，item 67对应2个listing存在冲突，必须各建CONFLICT/OPEN的pos_product_mapping_review，不能取第一个。确定product后才建立pos_product_mapping；配方产出必须指向相同product。,旧链接字段由兼容视图派生，写入端改用产品身份和配方版本；未决review不得进入成本或销售联动。,CRITICAL
cost_card_product_link_pre080,table,ARCHIVE_DROP,,与现行映射和审计记录比对后加密归档，不迁入新库。,无运行时兼容。,LOW
cost_card_recipe,table,PARTIAL_ACTIVE_ROUTE_WITH_ARCHIVE_ONLY_REFERENCE_PRICE,cost_card_recipe_version | AUTHENTICATED_S0_OR_MIGRATION_ARCHIVE_ROUTE_PENDING,配方结构字段仍须由最终 S0 逐字段验证后迁入 active recipe；sale_price 因缺地点/时间/币种粒度只进认证加密 S0 或迁移 archive，无 active target intent，不默认 MYR、不参与 margin。,R6A1 生成 0 个 SQL compatibility view；历史 fixture 数量不是生产 golden，等待 recipe archive route manifest、最新 S0 与独立 amendment release。,CRITICAL
cost_card_recipe_item,table,MIGRATE_REKEY,cost_card_recipe_component,source recipe item id以登记source_system_id与name=public.cost_card_recipe_item:<id>确定性生成component_id并保存在迁移清单；recipe_id只能经source recipe清单定位version，component_item_id只能经cost item source id解析material，单位g统一解析为G。1527个组件必须全部定位，孤儿=0、环=0；缺映射或循环进入BLOCKER，不猜填。,成本计算影子运行逐产品核对组件数、单位成本与门禁1527定位/0孤儿/0环。,CRITICAL
