audit_position,model_version,table_name,chinese_name,domain,foundation_tier,lifecycle,row_grain,storage_class,minimum_grain_verdict,derivability,physical_reason,derived_fields_or_outputs,action,r5_status,claude_fable_5_result,writer,readers,mutation_policy
1,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,app_schema_migration,迁移版本台账,app,CORE_PLATFORM,CORE_MIGRATION,代码仓库 × 迁移版本一行,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,按代码仓库分别记录已执行的迁移，消除多个项目共用单一数字版本造成的冲突。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,受控迁移执行器,所有项目,APPEND_ONLY
2,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,app_source_system,来源系统注册表,app,CORE_BUSINESS,CORE_MIGRATION,每个可区分的数据来源系统一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,登记 RES、Lark、财务模板、人工后台等数据来源及其责任边界。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,平台管理员,所有项目,CONTROLLED_UPDATE
3,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,app_unit,统一计量单位,app,CORE_BUSINESS,CORE_MIGRATION,一个受控计量单位一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,登记产品、原料、配方、采购和库存共同使用的计量单位；单位代码只表达计量含义，不夹带某个供应商包装规格。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,数据治理管理员,BakeryOps | 财务网站 | RES/POS | 分析/BI,CONTROLLED_UPDATE
4,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,app_job_run,自动任务运行记录,app,CORE_PLATFORM,CORE_MIGRATION,某个任务的一次运行一行,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,统一记录抓取、预测、成本计算和同步任务每次运行的输入窗口、结果和错误。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,,R6_MERGE_INTO: calendar imports and cost refreshes use the generic job-run ledger,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_KEEP_PLUS_MERGED_R5_OBJECT,任务调度平台,所有项目 | 分析/BI,CONTROLLED_UPDATE_UNTIL_TERMINAL
5,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,app_audit_event,受控操作审计流水,app,CORE_PLATFORM,CORE_MIGRATION,一次已完成或拒绝的受控操作一行,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,只追加记录登录、权限、人工改数、审批和敏感读取等受控操作。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,数据库受控审计函数,安全管理员 | 审计/BI,APPEND_ONLY
6,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,app_user,统一应用账号,app,CORE_PLATFORM,CORE_MIGRATION,每个可登录或可代表服务的账号一行,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,统一财务、BakeryOps及未来后台的登录账号；不等同于员工自然人。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,身份管理服务,所有应用,CONTROLLED_UPDATE
7,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,app_role,应用角色,app,CORE_PLATFORM,CORE_MIGRATION,一个角色一行,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,定义可分配给账号的角色集合。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,身份管理服务,所有应用,CONTROLLED_UPDATE
8,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,app_permission,应用权限,app,EXTENSION_PACK:FINE_GRAINED_ACCESS,PLANNED_MODULE,一个原子权限一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,定义最小可授权动作，例如读取成本、发布班表或管理账号。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,身份管理服务,所有应用,CONTROLLED_UPDATE
9,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,app_user_role,账号角色分配,app,CORE_PLATFORM,CORE_MIGRATION,账号 × 角色 × 生效区间一行,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,记录账号在有效期内拥有的角色。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,身份管理服务,所有应用,CONTROLLED_UPDATE_UNTIL_TERMINAL
10,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,app_role_permission,角色权限关系,app,EXTENSION_PACK:FINE_GRAINED_ACCESS,PLANNED_MODULE,角色 × 权限 × 生效区间一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,按生效区间把原子权限组合进角色，并保留撤销历史。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,身份管理服务,所有应用,CONTROLLED_UPDATE_UNTIL_TERMINAL
11,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,app_user_location_scope,账号地点范围,app,CORE_PLATFORM,CORE_MIGRATION,账号角色分配 × 地点 × 权限范围一行,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,限制一项账号角色分配可以读取或操作哪些门店、厨房或仓库，避免多角色账号的地点范围互相串用。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,身份管理服务,所有应用,CONTROLLED_UPDATE_UNTIL_TERMINAL
12,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,app_session,登录会话,app,CORE_PLATFORM,CORE_MIGRATION,一个登录会话一行,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,保存经过哈希的登录会话及其过期和撤销状态。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,身份管理服务,所有应用,CONTROLLED_UPDATE_UNTIL_TERMINAL
13,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,app_one_time_token,一次性访问令牌,app,CORE_PLATFORM,CORE_MIGRATION,一个一次性令牌一行,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,为 HBTI、重置密码或一次性公开流程保存哈希令牌和消费状态。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,令牌服务,HBTI | 所有应用,CONTROLLED_UPDATE_UNTIL_TERMINAL
14,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,app_rate_limit_event,限流计数事件,app,CORE_PLATFORM,CORE_MIGRATION,限流键 × 时间桶一行,CORE_PLATFORM_STATE,PASS_PLATFORM_SIDECAR_NOT_BUSINESS_FACT,NOT_DERIVABLE_FOR_RECOVERY_OR_SECURITY,记录受保护接口的限流计数，替代 HBTI 专用的孤立限流表。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,API 网关或限流服务,HBTI | 所有应用 | 安全管理员,CONTROLLED_UPDATE_UNTIL_TERMINAL
15,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_location,统一地点主数据,ops,CORE_BUSINESS,CORE_MIGRATION,每个真实经营地点一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,统一表示门店、中央厨房、仓库、办公室或兼具多种能力的地点。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,BakeryOps 主数据管理,所有项目,CONTROLLED_UPDATE
16,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_location_source_identity,地点来源身份映射,ops,CORE_BUSINESS,CORE_MIGRATION,来源系统 × 外部地点ID × 有效期一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,把 RES、Lark、财务模板等外部地点编号映射到统一 location_id，并保留有效期。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,BakeryOps 主数据审核,所有项目,CONTROLLED_UPDATE
17,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_product,统一产品主数据,ops,CORE_BUSINESS,CORE_MIGRATION,每个企业产品一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,维护 HOT CRUSH 可销售、可生产产品的稳定身份，不等同于某门店 POS listing。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,BakeryOps 产品主数据管理,所有项目,CONTROLLED_UPDATE
18,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_product_alias,产品别名,ops,CORE_BUSINESS,CORE_MIGRATION,来源范围 × 一个别名 × 有效期一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,PARTIAL_FIELDS_DERIVED_IN_VIEW,保存人工输入、Excel和历史系统中的产品别称，并明确归一到 product_id。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,normalized_alias -> NORMALIZE_ALIAS(alias_text),KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,BakeryOps 产品主数据管理,BakeryOps | 财务网站 | 分析/BI,CONTROLLED_UPDATE
19,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_person,自然人主数据,hr,CORE_BUSINESS,CORE_MIGRATION,每个自然人一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,为候选人和员工提供不随雇佣关系变化的稳定 person_id。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,HR 主数据流程,BakeryOps | 财务网站 | 分析/BI,CONTROLLED_UPDATE
20,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_person_contact,人员联系方式,hr,CORE_BUSINESS,CORE_MIGRATION,人员 × 联系方式类型 × 有效期一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,把电话和邮箱等联系方式从一般人员主档隔离，便于最小权限和历史管理。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,HR 主数据流程,授权 HR | 消息服务,CONTROLLED_UPDATE
21,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_employment,雇佣关系,hr,CORE_BUSINESS,CORE_MIGRATION,一个人从一次入职到一次离职的雇佣关系一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,把自然人与一次具体雇佣关系分开，支持离职后再次入职和跨地点调动。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,HR 主数据流程,BakeryOps | 财务网站 | 分析/BI,CONTROLLED_UPDATE
22,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_employment_source_identity,雇佣来源身份映射,hr,CORE_BUSINESS,CORE_MIGRATION,来源系统 × 外部员工ID × 有效期一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,把 Lark、工资表和历史员工表中的员工编号映射到 employment_id。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,HR 身份审核,BakeryOps | 财务网站 | 分析/BI,CONTROLLED_UPDATE
23,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_employment_mapping_review,雇佣身份映射审核,hr,CORE_BUSINESS,CORE_MIGRATION,来源系统 × 外部员工ID × 一次审核尝试一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,保存 Lark、工资表和历史员工来源无法自动确认到 employment_id 时的候选、证据和人工结论。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,HR 身份审核,BakeryOps | 财务网站 | 分析/BI,CONTROLLED_UPDATE
24,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,scm_material,统一原料主数据,scm,CORE_BUSINESS,CORE_MIGRATION,每个可采购、库存或作为配方组件的物料一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,统一表示原料、包材和半成品，不让供应链依赖财务成本卡内部编号。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,供应链主数据流程,BakeryOps | 财务网站 | 分析/BI,CONTROLLED_UPDATE
25,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,scm_material_alias,原料别名,scm,CORE_BUSINESS,CORE_MIGRATION,来源范围 × 原料别名 × 有效期一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,PARTIAL_FIELDS_DERIVED_IN_VIEW,保存供应商、财务模板和历史配方里的原料不同写法。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,normalized_alias -> NORMALIZE_ALIAS(alias_text),KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,供应链主数据流程,BakeryOps | 财务网站,CONTROLLED_UPDATE
26,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,scm_material_source_identity,原料来源身份映射,scm,CORE_BUSINESS,CORE_MIGRATION,来源系统 × 外部原料ID × 有效期一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,把成本卡迁移编号、WMS编号等外部物料身份映射到 material_id。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,供应链主数据审核,BakeryOps | 财务网站,CONTROLLED_UPDATE
